순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"42,500","-2,900","-6.4","41,701,626","1,789,671,838,540","42,600","43,550","42,400","253,715,758,375,000","21.77","5,969,782,550",,,2479
2,000660,SK하이닉스,"69,400","-5,400","-7.2","8,192,363","571,262,544,100","69,700","71,600","68,000","50,523,364,131,000","4.34","728,002,365",,,
3,005935,삼성전자우,"36,000","-2,000","-5.3","3,367,606","122,736,387,932","36,050","36,800","35,600","29,623,921,200,000","2.54","822,886,700",,,
4,207940,삼성바이오로직스,"436,000","6,000","1.4","589,740","256,390,609,500","406,000","454,500","405,500","28,847,940,000,000","2.48","66,165,000",,,
5,035420,NAVER,"143,000","-11,000","-7.1","1,033,851","149,203,913,500","141,500","149,500","140,000","23,489,665,485,000","2.02","164,263,395",,,
6,068270,셀트리온,"175,000","22,500","14.8","6,685,918","1,136,500,212,000","145,500","184,500","145,000","22,460,658,325,000","1.93","128,346,619",,,
7,051910,LG화학,"268,000","-4,500","-1.6","947,838","253,734,138,000","249,500","286,500","248,500","18,918,747,924,000","1.62","70,592,343",,,
8,051900,LG생활건강,"1,066,000","-44,000","-4.0","75,697","80,941,895,000","1,066,000","1,090,000","1,045,000","16,648,998,002,000","1.43","15,618,197",,,
9,006400,삼성SDI,"218,500","2,000","0.9","1,576,624","339,438,213,500","202,000","233,500","200,500","15,025,049,805,000","1.29","68,764,530",,,
10,005380,현대차,"68,900","-2,200","-3.1","2,391,540","163,093,956,100","67,200","71,000","66,200","14,721,738,084,300","1.26","213,668,187",,,
11,028260,삼성물산,"74,500","-6,000","-7.4","501,217","37,588,644,200","74,400","76,800","73,500","14,131,908,203,500","1.21","189,690,043",,,
12,017670,SK텔레콤,"165,500","-9,500","-5.4","341,417","56,893,312,000","166,000","170,500","164,000","13,363,415,170,500","1.15","80,745,711",,,
13,012330,현대모비스,"133,500","-7,000","-5.0","522,677","69,367,701,000","128,000","139,000","127,000","12,689,801,649,000","1.09","95,054,694",,,
14,036570,엔씨소프트,"572,000","5,000","0.9","175,741","98,464,932,000","532,000","597,000","531,000","12,557,700,584,000","1.08","21,954,022",,,
15,035720,카카오,"143,500","-6,000","-4.0","1,569,378","224,180,922,500","138,000","148,000","137,500","12,447,162,735,000","1.07","86,739,810",,,
16,005490,POSCO,"138,000","-6,500","-4.5","457,989","62,605,727,500","137,500","139,500","133,000","12,031,783,230,000","1.03","87,186,835",,,
17,105560,KB금융,"27,650","-3,200","-10.4","2,779,005","77,527,370,750","27,800","28,450","27,300","11,497,088,988,000","0.99","415,807,920",,,
18,015760,한국전력,"17,300","0","0.0","3,685,846","62,972,692,800","16,400","18,100","16,100","11,105,978,532,100","0.95","641,964,077",,,
19,055550,신한지주,"22,200","-2,000","-8.3","2,185,885","49,099,764,850","22,400","23,200","22,000","10,710,001,344,600","0.92","482,432,493",,,
20,018260,삼성에스디에스,"137,000","-8,000","-5.5","196,608","26,934,014,000","135,500","140,000","133,500","10,600,758,600,000","0.91","77,377,800",,,
21,091990,셀트리온헬스케어,"66,500","4,100","6.6","11,859,616","800,526,515,800","60,700","71,800","60,000","9,572,461,601,500","0.82","143,946,791",,,
22,090430,아모레퍼시픽,"159,500","-6,000","-3.6","316,855","50,438,651,000","154,500","163,500","153,500","9,324,129,155,000","0.80","58,458,490",,,
23,033780,KT&G,"63,600","-4,300","-6.3","600,618","38,665,207,400","65,200","65,700","63,000","8,731,802,809,200","0.75","137,292,497",,,
24,000270,기아차,"21,500","-2,650","-11.0","2,365,341","52,445,177,250","22,500","23,000","21,500","8,715,311,960,500","0.75","405,363,347",,,
25,003550,LG,"46,250","-2,250","-4.6","423,348","19,278,760,600","46,500","46,650","44,600","7,980,767,308,750","0.68","172,557,131",,,
26,251270,넷마블,"91,900","-1,600","-1.7","422,115","38,756,108,700","90,300","93,400","90,000","7,884,035,199,600","0.68","85,789,284",,,
27,034730,SK,"108,000","-13,500","-11.1","336,085","37,098,200,500","109,000","113,500","107,000","7,598,912,076,000","0.65","70,360,297",,,
28,032830,삼성생명,"36,500","2,550","7.5","943,863","33,876,068,700","32,100","38,700","32,000","7,300,000,000,000","0.63","200,000,000",,,
29,066570,LG전자,"41,850","-3,250","-7.2","1,186,795","49,923,250,250","42,350","42,850","41,600","6,848,661,015,900","0.59","163,647,814",,,
30,009150,삼성전기,"89,200","-7,200","-7.5","1,434,217","128,314,765,000","89,400","93,200","87,000","6,662,677,683,200","0.57","74,693,696",,,
31,000810,삼성화재,"137,500","8,000","6.2","243,535","32,050,110,000","120,000","140,500","117,500","6,514,040,087,500","0.56","47,374,837",,,
32,096770,SK이노베이션,"60,300","-4,500","-6.9","1,162,459","70,534,901,300","58,500","62,900","57,800","5,575,673,509,200","0.48","92,465,564",,,
33,010130,고려아연,"295,000","0","0.0","78,311","22,808,202,500","284,000","301,500","276,500","5,566,650,000,000","0.48","18,870,000",,,
34,086790,하나금융지주,"18,450","-2,200","-10.6","2,660,270","49,880,317,450","18,750","19,150","18,450","5,539,466,043,900","0.48","300,242,062",,,
35,010950,S-Oil,"48,500","-4,200","-8.0","610,326","30,143,811,100","49,400","50,400","48,450","5,460,265,412,000","0.47","112,582,792",,,
36,009540,한국조선해양,"68,600","-8,400","-10.9","324,195","22,716,151,200","69,600","72,500","67,600","4,855,035,757,600","0.42","70,773,116",,,
37,316140,우리금융지주,"6,560","-880","-11.8","3,892,290","25,768,513,120","6,720","6,860","6,450","4,738,076,000,480","0.41","722,267,683",,,
38,011170,롯데케미칼,"137,500","-10,000","-6.8","242,745","33,181,518,000","133,000","143,000","128,500","4,712,870,112,500","0.40","34,275,419",,,
39,030200,KT,"17,650","-1,250","-6.6","1,376,171","24,354,840,750","17,750","18,000","17,250","4,608,623,411,200","0.40","261,111,808",,,
40,018880,한온시스템,"8,590","-730","-7.8","1,377,405","12,124,043,410","8,670","9,240","8,510","4,585,342,000,000","0.39","533,800,000",,,
41,032640,LG유플러스,"9,470","-330","-3.4","2,419,664","23,040,241,640","9,350","9,790","9,210","4,134,709,588,670","0.35","436,611,361",,,
42,271560,오리온,"94,700","-7,300","-7.2","135,945","13,022,203,600","95,600","98,200","92,100","3,744,071,700,400","0.32","39,536,132",,,
43,002790,아모레G,"43,850","-5,300","-10.8","177,304","7,980,451,150","47,000","47,000","43,500","3,615,791,193,000","0.31","82,458,180",,,
